diameter_mm,x0_cm,y0_cm
0.54438237,14.190081,16.74452
0.7776237,13.972319,13.354097
0.6287648,20.67852,16.460773
0.69727525,18.278065,13.99918
0.62179852,23.708994,14.391504
0.6479732,19.145458,13.393045
0.7239059,22.530386,13.146004
1.1650646,20.300385,7.6741295
0.5673559,22.738443,8.411893
0.90714656,20.586058,8.527408
0.57014424,19.05986,8.419994
0.77677526,17.943167,8.438681
0.41383516,25.828342,7.6738205
0.6738309,25.254389,4.4485373
0.5542732,8.321228,13.969461
0.7667837,9.5750265,14.188872
0.66393584,5.462709,16.90764
0.62197246,7.7051167,14.102325
0.51479526,9.239056,12.434752
0.88119835,15.282104,6.529225
0.51840097,6.277941,7.594702
0.5961378,7.0030212,8.177817
0.6730609,8.705484,7.9652405
0.54028478,11.028731,3.9498115
0.47991585,10.020768,4.45302
0.6476387,12.186787,8.245347
0.6997266,12.477787,3.4448538
0.69990315,17.168936,3.4462917
0.57018362,11.244896,11.371248
0.4660829,2.7774153,12.859499
0.59579227,4.237424,9.6502695
0.56896877,8.502526,9.85905
0.7081345,2.1540248,6.888953
0.8809643,2.3393636,7.2006245
0.6444668,5.892474,6.657223
0.6970375,4.059148,5.0752306
0.7492824,3.0504487,3.6473448
0.30643173,12.043573,6.06293
0.4406412,23.55243,11.9309635
0.5172351,9.498183,3.362493
0.621644,12.327787,1.7882978
0.46657532,4.586163,4.2248883
0.622001,5.0546455,4.873049
0.48893936,7.492527,6.203255
0.49090307,2.1574538,6.227041
0.58975913,7.6534553,18.173716
0.46582237,7.7564244,18.58515
0.5733482,6.147698,17.120138
0.51545475,6.558485,11.794418
0.44006415,10.05998,11.777703
0.8167094,12.365471,14.435528
0.44630945,14.815635,10.080493
0.57007637,14.745298,10.065787
0.46589945,15.479703,17.123774
0.44057388,21.664558,16.812029
0.4860251,20.97746,14.379997
0.7180785,19.778357,13.658234
0.3824445,18.153166,9.920865
0.4406218,13.964229,8.84234
0.4144864,14.06467,8.330846
0.8808975,17.62732,0.6826504
0.19666733,25.957073,4.1192107
0.52821357,21.14842,8.176992
0.6459281,25.860603,9.139964
0.23306208,26.195955,9.691569
0.36279425,3.810311,15.02524
0.51328965,20.09263,17.150316
0.4122435,19.807697,18.767403
0.38740225,20.275593,9.805652
0.6998305,22.027304,11.049901
0.62127545,18.957918,12.348515
0.51844753,1.6104722,15.3897
0.6997406,5.778462,4.4549985
0.3887377,23.498316,10.402183
0.56947198,25.011631,11.072967
0.4918315,9.918684,0.53185356
0.46138797,2.2724931,6.5825887
0.427164,1.6592654,7.971293
0.38807463,2.3017719,0.43792972
