diameter_mm,x0_cm,y0_cm
0.433,22.741234,6.685193
0.433,23.805153,3.5868409
0.49,20.689278,2.0011744
0.728,24.533672,1.2032939
0.567,22.216566,7.6214113
0.903,16.329336,5.3595347
0.611,17.24579,4.596601
0.419,15.17114,6.1195784
0.663,14.589991,4.460416
0.676,15.135765,2.5140674
0.833,15.397783,2.0900574
0.721,13.391325,2.4898784
0.594,11.93667,12.699862
0.5,9.370008,13.886252
0.666,4.773328,13.273611
0.33,2.045152,8.146841
0.834,2.1604106,6.8196707
0.464,13.87626,7.6850686
0.795,14.45001,7.512917
0.656,19.280302,4.8528266
0.854,19.686666,4.9533334
0.5,8.736659,2.3937492
0.662,10.593837,13.380166
0.734,9.351113,12.234855
0.885,17.946661,14.246943
0.766,19.377144,10.564948
0.864,23.117376,12.936233
0.764,17.478212,11.642122
0.86,16.506086,15.051453
1.066,11.840017,8.805835
0.761,7.910876,4.964415
0.759,1.9350245,14.788675
0.609,2.405386,11.657468
0.522,6.630003,5.3265285
0.461,9.245593,3.819656
0.43,12.86078,1.0762994
0.557,9.591111,2.2154665
0.5,14.636101,1.5151923
0.38,3.705586,3.6577885
0.397,21.382343,8.382372
0.433,23.00248,1.9081463
0.533,19.086668,5.78
0.4,17.378948,1.2631633
0.5,9.396335,17.351883
0.6,0.86,4.6600003
0.733,0.95635736,1.787392
0.532,16.113335,13.913334
0.533,16.037779,6.428889
0.394,11.999994,5.0069437
0.833,6.1025677,1.9421259
0.421,5.1299767,3.1294377
0.432,5.6777334,1.6416582
1.341,19.969492,6.562659
0.492,10.366667,12.233334
0.715,10.573246,8.495766
