diameter_mm
0.06911
0.0836
0.0836
0.09341
0.11008
0.12455
0.12455
0.12455
0.15568
0.15568
0.15568
0.15568
0.15568
0.15568
0.15568
0.15568
0.15568
0.15929
0.17614
0.17614
0.17739
0.18108
0.18108
0.21796
0.21796
0.21796
0.21796
0.21796
0.21796
0.22017
0.22017
0.24909
0.24909
0.24909
0.24909
0.24909
0.24909
0.24909
0.24909
0.24909
0.24909
0.24909
0.24909
0.24909
0.28023
0.28023
0.28023
0.28023
0.28023
0.28023
0.28023
0.31137
0.31137
0.31137
0.31137
0.31137
0.31137
0.31137
0.31137
0.31137
0.31137
0.31137
0.31137
0.32041
0.3425
0.3425
0.3425
0.3425
0.37364
0.37364
0.37364
0.37364
0.37364
0.37364
0.37364
0.37364
0.37431
0.38996
0.3963
0.3963
0.40478
0.40478
0.40478
0.40478
0.40478
0.41119
0.41122
0.41469
0.41661
0.43591
0.43591
0.43591
0.43591
0.43591
0.43591
0.46705
0.46705
0.46705
0.48437
0.49819
0.49819
0.49819
0.52841
0.52928
0.52932
0.52932
0.54381
0.56046
0.56046
0.61076
0.62669
0.63849
0.65387
0.65387
0.68501
0.68501
0.68501
0.77842
0.80955
0.80955
0.83078
0.83078
0.87183
0.87183
1.05865
1.08978
1.10085
1.12092
1.12092
1.15206
1.21433
1.29522
1.3443
1.38315
1.38853
1.45312
1.46342
1.58797
