diameter_mm
0.12939
0.12939
0.12939
0.12939
0.12939
0.16173
0.16173
0.16173
0.19408
0.19408
0.19408
0.19408
0.19408
0.19408
0.19408
0.19408
0.19408
0.19408
0.19408
0.22643
0.22643
0.22643
0.22643
0.22643
0.22643
0.22643
0.25877
0.25877
0.25877
0.25877
0.25877
0.25877
0.29112
0.29112
0.29112
0.29112
0.29112
0.29112
0.29598
0.30957
0.32347
0.32347
0.32347
0.32347
0.35581
0.35581
0.35581
0.35581
0.42051
0.42051
0.48981
0.51755
0.51755
0.5486
0.54989
0.54989
0.70439
0.74017
0.93805
